ts,Humedad_,MQ135_raw
2025-09-30 15:51:30,5,117
2025-09-30 15:51:30,5,117
2025-09-30 15:51:31,5,117
2025-09-30 15:51:31,5,117
2025-09-30 15:51:32,5,116
2025-09-30 15:51:32,5,116
2025-09-30 15:51:33,5,117
2025-09-30 15:51:33,5,117
2025-09-30 15:51:34,5,117
2025-09-30 15:51:34,5,116
2025-09-30 15:51:35,5,116
2025-09-30 15:51:35,5,116
2025-09-30 15:51:36,5,116
2025-09-30 15:51:36,5,116
2025-09-30 15:51:37,5,116
2025-09-30 15:51:37,5,116
2025-09-30 15:51:38,5,116
2025-09-30 15:51:38,5,116
2025-09-30 15:51:39,5,115
2025-09-30 15:51:39,5,115
2025-09-30 15:51:40,5,115
2025-09-30 15:51:40,5,115
2025-09-30 15:51:41,5,116
2025-09-30 15:51:41,5,116
2025-09-30 15:51:42,5,115
2025-09-30 15:51:42,5,115
2025-09-30 15:51:43,5,115
2025-09-30 15:51:43,5,115
2025-09-30 15:51:44,5,114
2025-09-30 15:51:44,5,115
2025-09-30 15:51:45,5,115
2025-09-30 15:51:45,5,115
2025-09-30 15:51:46,5,115
2025-09-30 15:51:46,5,114
2025-09-30 15:51:47,5,114
2025-09-30 15:51:47,5,114
2025-09-30 15:51:48,5,114
2025-09-30 15:51:48,5,114
2025-09-30 15:51:49,5,114
2025-09-30 15:51:49,5,114
2025-09-30 15:51:50,5,115
2025-09-30 15:51:50,5,115
2025-09-30 15:51:51,5,114
2025-09-30 15:51:51,5,114
2025-09-30 15:51:52,5,114
2025-09-30 15:51:52,5,113
2025-09-30 15:51:53,5,113
2025-09-30 15:51:53,5,113
2025-09-30 15:51:54,5,113
2025-09-30 15:51:54,5,113
2025-09-30 15:51:55,5,113
2025-09-30 15:51:55,5,113
2025-09-30 15:51:56,5,113
2025-09-30 15:51:56,5,113
2025-09-30 15:51:57,5,113
2025-09-30 15:51:57,5,113
2025-09-30 15:51:58,5,113
2025-09-30 15:51:58,5,112
2025-09-30 15:51:59,5,113
2025-09-30 15:51:59,5,112
2025-09-30 15:52:00,57,112
2025-09-30 15:52:00,69,112
2025-09-30 15:52:01,71,113
2025-09-30 15:52:01,71,112
2025-09-30 15:52:02,71,112
